episode,steps,return
1,200,-560.0
2,200,-614.0
3,200,-569.0
4,200,-506.0
5,200,-578.0
6,200,-551.0
7,200,-560.0
8,200,-362.0
9,200,-434.0
10,200,-443.0
11,200,-470.0
12,200,-299.0
13,200,-398.0
14,200,-587.0
15,200,-587.0
16,74,-197.0
17,200,-353.0
18,200,-344.0
19,200,-380.0
20,200,-461.0
21,200,-542.0
22,200,-407.0
23,200,-344.0
24,200,-470.0
25,200,-344.0
26,200,-443.0
27,200,-353.0
28,200,-335.0
29,200,-335.0
30,200,-299.0
31,200,-614.0
32,200,-290.0
33,200,-278.0
34,168,-273.0
35,200,-290.0
36,200,-335.0
37,200,-524.0
38,200,-389.0
39,200,-335.0
40,200,-605.0
41,200,-308.0
42,200,-434.0
43,200,-326.0
44,200,-299.0
45,200,-407.0
46,163,-322.0
47,152,-266.0
48,200,-317.0
49,200,-425.0
50,186,-309.0
51,200,-317.0
52,199,-385.0
53,75,-108.0
54,192,-333.0
55,107,-320.0
56,200,-353.0
57,200,-335.0
58,200,-299.0
59,200,-299.0
60,200,-371.0
61,200,-290.0
62,200,-335.0
63,200,-353.0
64,200,-353.0
65,200,-344.0
66,200,-317.0
67,200,-254.0
68,200,-326.0
69,200,-362.0
70,200,-326.0
71,129,-198.0
72,200,-326.0
73,200,-335.0
74,183,-333.0
75,73,-106.0
76,200,-371.0
77,200,-353.0
78,55,-61.0
79,200,-272.0
80,200,-362.0
81,113,-173.0
82,200,-398.0
83,200,-371.0
84,200,-299.0
85,200,-389.0
86,170,-257.0
87,200,-488.0
88,200,-308.0
89,200,-299.0
90,37,-52.0
91,200,-326.0
92,200,-353.0
93,200,-317.0
94,200,-326.0
95,200,-353.0
96,54,-69.0
97,27,-15.0
98,200,-335.0
99,200,-380.0
100,190,-259.0
101,200,-326.0
102,184,-244.0
103,200,-272.0
104,200,-353.0
105,148,-253.0
106,200,-380.0
107,200,-317.0
108,200,-317.0
109,109,-187.0
110,200,-290.0
111,200,-350.0
112,182,-215.0
113,167,-281.0
114,200,-326.0
115,200,-308.0
116,38,-35.0
117,200,-380.0
118,132,-210.0
119,130,-190.0
120,200,-416.0
121,200,-398.0
122,200,-299.0
123,200,-389.0
124,200,-380.0
125,200,-362.0
126,48,-45.0
127,138,-189.0
128,200,-317.0
129,200,-299.0
130,76,-145.0
131,200,-335.0
132,200,-290.0
133,200,-281.0
134,200,-308.0
135,200,-308.0
136,200,-290.0
137,200,-317.0
138,172,-259.0
139,200,-344.0
140,194,-254.0
141,68,-92.0
142,44,-77.0
143,200,-308.0
144,200,-335.0
145,200,-299.0
146,200,-308.0
147,62,-77.0
148,200,-380.0
149,200,-326.0
150,200,-362.0
151,71,-122.0
152,200,-344.0
153,179,-266.0
154,129,-144.0
155,147,-243.0
156,132,-210.0
157,200,-281.0
158,162,-231.0
159,94,-109.0
160,200,-344.0
161,200,-290.0
162,111,-108.0
163,200,-344.0
164,200,-272.0
165,200,-326.0
166,200,-335.0
167,19,2.0
168,200,-407.0
169,160,-292.0
170,129,-171.0
171,139,-208.0
172,200,-371.0
173,200,-362.0
174,200,-317.0
175,187,-274.0
176,194,-317.0
177,69,-84.0
178,200,-344.0
179,122,-164.0
180,51,-66.0
181,176,-308.0
182,200,-317.0
183,200,-335.0
184,200,-344.0
185,200,-308.0
186,151,-229.0
187,32,-11.0
188,149,-209.0
189,200,-290.0
190,200,-362.0
191,172,-259.0
