episode,steps,return
1,200,-560.0
2,200,-614.0
3,200,-569.0
4,200,-506.0
5,200,-578.0
6,200,-551.0
7,200,-560.0
8,200,-362.0
9,200,-425.0
10,200,-452.0
11,200,-470.0
12,200,-299.0
13,200,-488.0
14,200,-569.0
15,200,-587.0
16,74,-197.0
17,200,-281.0
18,200,-344.0
19,200,-380.0
20,200,-470.0
21,200,-542.0
22,200,-326.0
23,200,-344.0
24,200,-515.0
25,200,-344.0
26,200,-461.0
27,200,-335.0
28,200,-335.0
29,200,-335.0
30,158,-227.0
31,200,-578.0
32,151,-202.0
33,200,-290.0
34,200,-299.0
35,200,-317.0
36,200,-353.0
37,200,-560.0
38,200,-434.0
39,200,-335.0
40,200,-623.0
41,200,-317.0
42,200,-425.0
43,176,-290.0
44,200,-335.0
45,200,-389.0
46,200,-299.0
47,200,-461.0
48,200,-263.0
49,200,-425.0
50,200,-389.0
51,136,-169.0
52,200,-344.0
53,200,-353.0
54,200,-443.0
55,200,-461.0
56,200,-335.0
57,200,-317.0
58,200,-344.0
59,200,-353.0
60,150,-183.0
61,192,-288.0
62,200,-353.0
63,200,-326.0
64,200,-362.0
65,200,-290.0
66,85,-190.0
67,200,-263.0
68,200,-299.0
69,144,-195.0
70,85,-136.0
71,200,-317.0
72,200,-308.0
73,200,-389.0
74,200,-317.0
75,200,-380.0
76,200,-362.0
77,200,-299.0
78,108,-186.0
79,200,-290.0
80,200,-353.0
81,200,-425.0
82,200,-362.0
83,200,-326.0
84,200,-326.0
85,200,-326.0
86,200,-317.0
87,200,-407.0
88,200,-326.0
89,200,-317.0
90,200,-353.0
91,200,-335.0
92,200,-317.0
93,200,-353.0
94,200,-299.0
95,200,-389.0
96,129,-216.0
97,76,-100.0
98,200,-281.0
99,200,-317.0
100,200,-290.0
101,200,-335.0
102,200,-290.0
103,200,-353.0
104,200,-353.0
105,200,-353.0
106,200,-362.0
107,200,-371.0
108,200,-308.0
109,200,-299.0
110,200,-371.0
111,145,-187.0
112,112,-190.0
113,200,-317.0
114,200,-353.0
115,200,-272.0
116,200,-380.0
117,200,-398.0
118,200,-389.0
119,200,-389.0
120,200,-380.0
121,200,-353.0
122,200,-326.0
123,200,-317.0
124,200,-344.0
125,200,-308.0
126,123,-165.0
127,72,-114.0
128,200,-326.0
129,200,-317.0
130,200,-308.0
131,200,-299.0
132,200,-308.0
133,200,-326.0
134,200,-281.0
135,200,-326.0
136,200,-308.0
137,200,-308.0
138,200,-326.0
139,200,-299.0
140,200,-362.0
141,200,-308.0
142,200,-344.0
143,200,-362.0
144,200,-416.0
145,200,-317.0
146,200,-344.0
147,200,-362.0
148,200,-281.0
149,200,-281.0
150,200,-290.0
151,200,-353.0
152,200,-308.0
153,200,-317.0
154,200,-299.0
155,200,-326.0
156,200,-353.0
157,200,-407.0
158,200,-362.0
159,184,-262.0
160,110,-197.0
161,200,-308.0
162,200,-371.0
163,200,-299.0
164,200,-353.0
165,200,-299.0
166,200,-380.0
167,200,-362.0
168,200,-335.0
169,200,-353.0
170,200,-299.0
171,200,-389.0
172,200,-308.0
173,200,-317.0
174,200,-272.0
175,200,-326.0
176,200,-380.0
177,200,-299.0
178,200,-299.0
179,200,-380.0
180,200,-398.0
181,200,-299.0
182,200,-335.0
183,40,-64.0
184,103,-145.0
185,200,-371.0
186,200,-371.0
187,200,-272.0
188,200,-344.0
189,60,-75.0
190,200,-326.0
191,81,-96.0
