episode,steps,return
1,200,-470.0
2,200,-587.0
3,200,-524.0
4,200,-425.0
5,200,-569.0
6,200,-551.0
7,200,-515.0
8,200,-353.0
9,200,-398.0
10,200,-407.0
11,200,-470.0
12,200,-335.0
13,183,-324.0
14,200,-587.0
15,200,-560.0
16,192,-486.0
17,200,-236.0
18,200,-263.0
19,200,-254.0
20,200,-506.0
21,200,-560.0
22,200,-290.0
23,200,-335.0
24,200,-569.0
25,200,-299.0
26,200,-254.0
27,108,-114.0
28,200,-317.0
29,152,-275.0
30,189,-213.0
31,200,-551.0
32,200,-254.0
33,200,-245.0
34,200,-236.0
35,200,-245.0
36,200,-398.0
37,200,-542.0
38,200,-317.0
39,200,-272.0
40,200,-569.0
41,200,-245.0
42,200,-407.0
43,200,-236.0
44,122,-119.0
45,196,-193.0
46,150,-183.0
47,200,-218.0
48,200,-398.0
49,200,-308.0
50,200,-281.0
51,200,-254.0
52,200,-290.0
53,200,-236.0
54,200,-263.0
55,200,-353.0
56,77,-191.0
57,125,-131.0
58,200,-281.0
59,200,-218.0
60,200,-281.0
61,117,-114.0
62,200,-299.0
63,200,-263.0
64,200,-353.0
65,65,-62.0
66,200,-245.0
67,200,-362.0
68,200,-326.0
69,200,-416.0
70,51,-39.0
71,200,-254.0
72,200,-227.0
73,200,-236.0
74,173,-179.0
75,145,-187.0
76,109,-115.0
77,200,-335.0
78,200,-281.0
79,138,-180.0
80,200,-236.0
81,118,-151.0
82,200,-353.0
83,200,-344.0
84,58,-64.0
85,25,-13.0
86,164,-287.0
87,167,-362.0
88,162,-213.0
89,121,-154.0
90,27,-15.0
91,200,-335.0
92,165,-180.0
93,172,-241.0
94,200,-272.0
95,200,-227.0
96,200,-254.0
97,165,-180.0
98,200,-236.0
99,175,-190.0
100,179,-221.0
101,39,-27.0
102,200,-281.0
103,200,-245.0
104,74,-89.0
105,200,-362.0
106,200,-299.0
107,200,-344.0
108,200,-425.0
109,12,9.0
110,126,-150.0
111,200,-272.0
112,58,-82.0
113,110,-125.0
114,200,-335.0
115,90,-87.0
116,189,-231.0
117,200,-371.0
118,180,-276.0
119,23,-2.0
120,183,-315.0
121,125,-248.0
122,126,-258.0
123,200,-353.0
124,114,-129.0
125,200,-407.0
126,46,-61.0
127,200,-290.0
128,102,-135.0
129,200,-263.0
130,195,-237.0
131,123,-165.0
132,112,-118.0
133,200,-227.0
134,63,-51.0
135,200,-299.0
136,200,-326.0
137,200,-254.0
138,200,-281.0
139,114,-111.0
140,111,-117.0
141,66,-45.0
142,29,-35.0
143,200,-299.0
144,117,-132.0
145,200,-272.0
146,186,-255.0
147,134,-122.0
148,200,-308.0
149,174,-189.0
150,101,-116.0
151,171,-276.0
152,200,-263.0
153,174,-234.0
154,191,-197.0
155,116,-122.0
156,84,-108.0
157,184,-208.0
158,105,-120.0
159,131,-173.0
160,41,-29.0
161,151,-157.0
162,137,-143.0
163,79,-76.0
164,173,-170.0
165,29,-8.0
166,157,-154.0
167,12,9.0
168,60,-75.0
169,112,-145.0
170,149,-191.0
171,137,-161.0
172,154,-196.0
173,121,-109.0
174,157,-190.0
175,177,-201.0
176,194,-326.0
177,198,-240.0
178,157,-145.0
179,165,-207.0
180,96,-111.0
181,12,0.0
182,135,-168.0
183,88,-103.0
184,105,-111.0
185,200,-254.0
186,178,-184.0
187,24,-3.0
188,98,-104.0
189,53,-68.0
190,179,-203.0
191,98,-95.0
192,93,-99.0
193,53,-41.0
194,45,-24.0
195,71,-77.0
196,176,-200.0
197,54,-51.0
198,107,-158.0
199,146,-188.0
200,85,-100.0
201,127,-142.0
202,86,-101.0
203,105,-147.0
204,200,-254.0
205,85,-100.0
206,14,7.0
207,123,-183.0
208,185,-191.0
209,7,14.0
210,200,-272.0
211,170,-212.0
212,132,-156.0
213,9,12.0
214,41,-29.0
215,50,-38.0
216,200,-335.0
217,75,-90.0
218,144,-222.0
219,78,-120.0
220,200,-290.0
221,104,-137.0
222,14,7.0
223,43,-31.0
224,123,-129.0
225,85,-82.0
226,44,-50.0
227,144,-213.0
228,110,-116.0
229,191,-296.0
230,68,-92.0
231,85,-100.0
232,71,-59.0
233,20,-17.0
234,170,-212.0
235,6,15.0
236,76,-82.0
237,105,-129.0
238,157,-208.0
239,17,-5.0
240,19,2.0
241,22,-10.0
242,200,-254.0
243,110,-152.0
244,30,-18.0
245,22,-10.0
246,34,-13.0
247,63,-69.0
248,94,-109.0
249,70,-103.0
250,26,-5.0
251,25,-31.0
252,56,-53.0
253,138,-135.0
254,106,-202.0
255,38,-26.0
256,76,-73.0
257,156,-216.0
258,144,-195.0
259,81,-105.0
260,13,8.0
261,41,-20.0
262,112,-154.0
263,185,-254.0
264,78,-93.0
265,138,-180.0
266,109,-124.0
267,57,-36.0
268,74,-89.0
269,155,-197.0
270,41,-29.0
271,30,-9.0
272,37,-34.0
273,129,-135.0
274,167,-200.0
275,9,3.0
276,42,-30.0
277,9,12.0
278,120,-117.0
279,89,-86.0
280,32,-29.0
281,200,-335.0
282,61,-58.0
283,9,12.0
284,73,-61.0
285,114,-120.0
286,130,-208.0
287,143,-221.0
288,122,-155.0
289,141,-255.0
290,14,7.0
291,15,-3.0
292,38,-17.0
293,24,-3.0
294,200,-281.0
295,113,-155.0
296,69,-66.0
297,12,-9.0
298,14,7.0
299,12,0.0
300,88,-94.0
301,16,-4.0
302,175,-217.0
303,107,-104.0
304,48,-54.0
305,88,-103.0
306,75,-72.0
307,73,-88.0
308,54,-51.0
309,23,-11.0
310,20,-8.0
311,97,-103.0
312,142,-166.0
313,101,-125.0
314,30,-36.0
315,28,-16.0
316,107,-167.0
317,31,-28.0
318,62,-50.0
319,74,-107.0
320,81,-114.0
321,64,-70.0
322,10,2.0
323,63,-69.0
324,11,1.0
325,49,-55.0
326,32,-29.0
327,23,-20.0
328,12,9.0
329,87,-93.0
330,87,-93.0
331,19,2.0
332,63,-42.0
333,81,-105.0
334,33,-48.0
335,36,-24.0
336,31,-10.0
337,88,-112.0
338,44,-59.0
339,37,-25.0
340,34,-31.0
341,105,-129.0
342,24,-12.0
343,111,-90.0
344,72,-69.0
345,61,-76.0
346,33,-30.0
347,45,-33.0
348,9,12.0
349,128,-179.0
350,6,15.0
351,65,-44.0
352,19,2.0
353,9,12.0
354,26,-14.0
355,36,-15.0
356,36,-24.0
357,20,-8.0
358,36,-15.0
359,17,4.0
360,58,-64.0
361,48,-45.0
362,8,4.0
363,24,-3.0
364,99,-87.0
365,39,-36.0
366,23,-11.0
367,17,4.0
368,14,-2.0
369,62,-68.0
370,33,-30.0
371,24,-12.0
372,7,14.0
373,10,2.0
374,111,-117.0
375,11,1.0
376,9,12.0
377,23,-2.0
378,51,-57.0
379,46,-43.0
380,49,-28.0
381,64,-70.0
382,16,5.0
383,151,-157.0
384,85,-100.0
385,13,8.0
386,127,-115.0
387,49,-64.0
388,12,0.0
389,45,-24.0
390,44,-41.0
391,48,-36.0
392,69,-48.0
393,26,-5.0
394,46,-70.0
395,97,-103.0
396,12,9.0
397,40,-46.0
398,39,-36.0
399,22,-10.0
400,9,12.0
401,110,-134.0
402,31,-46.0
403,10,11.0
404,71,-59.0
405,93,-99.0
406,41,-29.0
407,44,-59.0
408,52,-31.0
409,38,-35.0
410,26,-14.0
411,14,-11.0
412,68,-74.0
413,22,-1.0
414,11,10.0
415,16,-4.0
416,24,-3.0
417,26,-23.0
418,25,-13.0
419,30,-9.0
420,31,-10.0
421,34,-13.0
422,22,-1.0
423,12,0.0
424,36,-24.0
425,19,2.0
426,44,-23.0
427,9,12.0
428,46,-34.0
429,17,4.0
430,18,3.0
431,31,-10.0
432,19,2.0
433,12,9.0
434,35,-23.0
435,45,-42.0
436,22,-10.0
437,30,-18.0
438,57,-45.0
439,19,2.0
440,90,-105.0
441,22,-1.0
442,73,-52.0
443,68,-65.0
444,12,0.0
445,80,-95.0
446,13,-1.0
447,103,-127.0
448,48,-72.0
449,36,-24.0
450,30,-18.0
451,136,-133.0
452,24,-3.0
453,33,-30.0
454,54,-33.0
455,19,2.0
456,79,-76.0
457,16,5.0
458,24,-3.0
459,51,-39.0
460,9,3.0
461,9,12.0
462,30,-9.0
463,52,-40.0
464,35,-23.0
465,11,10.0
466,20,-8.0
467,22,-28.0
468,8,13.0
469,14,7.0
470,102,-135.0
471,7,14.0
472,21,0.0
473,25,-13.0
474,30,-27.0
475,30,-9.0
476,15,6.0
477,53,-50.0
478,85,-73.0
479,35,-14.0
480,14,-2.0
481,67,-55.0
482,9,12.0
483,15,-3.0
484,14,7.0
485,12,0.0
486,12,9.0
487,46,-43.0
488,88,-85.0
489,14,-11.0
490,64,-43.0
491,47,-35.0
492,17,4.0
493,10,11.0
494,67,-55.0
495,7,14.0
496,12,9.0
497,11,10.0
498,24,-12.0
499,35,-23.0
500,34,-13.0
501,27,-6.0
502,14,7.0
503,60,-39.0
504,18,3.0
505,15,-3.0
506,31,-19.0
507,13,8.0
508,30,-36.0
509,29,-17.0
510,17,4.0
511,85,-91.0
512,35,-23.0
513,10,11.0
514,59,-56.0
515,16,5.0
516,44,-41.0
517,27,-6.0
518,10,2.0
519,12,0.0
520,15,-3.0
521,23,-2.0
522,14,7.0
523,10,11.0
524,25,-13.0
525,21,-9.0
526,55,-61.0
527,11,10.0
528,25,-13.0
529,46,-34.0
530,25,-13.0
531,13,-1.0
532,90,-69.0
533,13,-1.0
534,40,-19.0
535,61,-58.0
536,17,4.0
537,13,8.0
538,17,4.0
539,7,14.0
540,54,-51.0
541,31,-10.0
542,18,-6.0
543,66,-81.0
544,20,1.0
545,8,13.0
546,11,10.0
547,12,-9.0
548,13,8.0
549,20,1.0
550,13,-1.0
551,34,-13.0
552,17,4.0
553,17,4.0
554,95,-101.0
555,14,7.0
556,8,13.0
557,22,-1.0
558,35,-50.0
559,48,-36.0
560,14,7.0
561,15,6.0
562,14,7.0
563,30,-9.0
564,20,1.0
565,13,8.0
566,10,11.0
567,10,11.0
568,35,-23.0
569,64,-61.0
570,11,10.0
571,15,-3.0
572,29,-8.0
573,20,-8.0
574,15,-3.0
575,14,-2.0
576,68,-83.0
577,14,7.0
578,14,7.0
579,27,-15.0
580,15,-3.0
581,41,-38.0
582,7,14.0
583,21,-9.0
584,45,-33.0
585,17,-5.0
586,16,5.0
587,25,-4.0
588,36,-33.0
