episode,steps,return
1,200,-470.0
2,200,-587.0
3,200,-524.0
4,200,-425.0
5,200,-569.0
6,200,-551.0
7,200,-515.0
8,200,-353.0
9,200,-398.0
10,200,-407.0
11,200,-470.0
12,200,-335.0
13,183,-324.0
14,200,-587.0
15,200,-560.0
16,192,-486.0
17,200,-236.0
18,200,-245.0
19,200,-254.0
20,200,-506.0
21,200,-560.0
22,200,-290.0
23,200,-335.0
24,200,-425.0
25,200,-281.0
26,200,-254.0
27,200,-281.0
28,200,-290.0
29,200,-263.0
30,200,-263.0
31,200,-515.0
32,200,-353.0
33,200,-245.0
34,200,-245.0
35,200,-290.0
36,200,-416.0
37,200,-605.0
38,122,-200.0
39,200,-290.0
40,200,-551.0
41,200,-245.0
42,200,-371.0
43,200,-227.0
44,200,-218.0
45,200,-425.0
46,200,-227.0
47,184,-343.0
48,200,-389.0
49,200,-389.0
50,200,-272.0
51,200,-281.0
52,200,-245.0
53,200,-254.0
54,200,-335.0
55,200,-326.0
56,195,-354.0
57,200,-218.0
58,200,-317.0
59,200,-245.0
60,200,-308.0
61,200,-245.0
62,200,-272.0
63,200,-389.0
64,200,-299.0
65,120,-171.0
66,170,-248.0
67,200,-308.0
68,200,-326.0
69,200,-353.0
70,200,-227.0
71,63,-114.0
72,200,-245.0
73,200,-245.0
74,200,-344.0
75,200,-299.0
76,200,-281.0
77,200,-263.0
78,108,-150.0
79,200,-326.0
80,200,-290.0
81,182,-278.0
82,200,-407.0
83,200,-299.0
84,180,-213.0
85,200,-290.0
86,200,-353.0
87,200,-425.0
88,200,-254.0
89,200,-263.0
90,200,-254.0
91,200,-245.0
92,200,-272.0
93,200,-308.0
94,200,-326.0
95,200,-371.0
96,200,-326.0
97,200,-281.0
98,200,-281.0
99,200,-335.0
100,200,-281.0
101,200,-353.0
102,200,-326.0
103,200,-308.0
104,200,-263.0
105,200,-407.0
106,200,-308.0
107,200,-263.0
108,200,-263.0
109,200,-245.0
110,71,-104.0
111,120,-153.0
112,200,-317.0
113,200,-326.0
114,200,-263.0
115,200,-281.0
116,194,-272.0
117,200,-281.0
118,78,-75.0
119,34,-13.0
120,200,-335.0
121,200,-380.0
122,200,-236.0
123,200,-326.0
124,200,-299.0
125,200,-281.0
126,153,-204.0
127,200,-308.0
128,200,-263.0
129,200,-281.0
130,200,-308.0
131,200,-308.0
132,200,-281.0
133,200,-263.0
134,200,-281.0
135,200,-272.0
136,200,-254.0
137,200,-308.0
138,200,-263.0
139,93,-117.0
140,200,-308.0
141,200,-371.0
142,200,-263.0
143,200,-227.0
144,200,-308.0
145,200,-317.0
146,200,-308.0
147,200,-245.0
148,200,-326.0
149,185,-317.0
150,200,-263.0
151,200,-236.0
152,200,-290.0
153,200,-281.0
154,200,-263.0
155,200,-308.0
156,200,-272.0
157,200,-335.0
158,200,-335.0
159,200,-254.0
160,200,-245.0
161,200,-353.0
162,200,-272.0
163,200,-299.0
164,200,-335.0
165,200,-272.0
166,200,-308.0
167,91,-97.0
168,200,-254.0
169,200,-299.0
170,200,-245.0
171,200,-245.0
172,98,-104.0
173,78,-120.0
174,200,-344.0
175,200,-272.0
176,200,-407.0
177,200,-254.0
178,200,-362.0
179,200,-299.0
180,200,-299.0
181,200,-245.0
182,200,-353.0
183,200,-281.0
184,200,-308.0
185,200,-236.0
186,144,-186.0
187,200,-245.0
188,200,-263.0
189,200,-326.0
190,200,-281.0
191,200,-281.0
192,200,-299.0
193,200,-272.0
194,184,-226.0
195,200,-290.0
196,200,-290.0
197,200,-263.0
198,200,-290.0
199,200,-227.0
200,200,-308.0
201,200,-335.0
202,200,-317.0
203,97,-103.0
204,200,-362.0
205,200,-317.0
206,200,-272.0
207,200,-281.0
208,200,-317.0
209,200,-272.0
210,200,-281.0
211,200,-335.0
212,200,-272.0
213,200,-272.0
214,200,-299.0
215,200,-299.0
216,200,-326.0
217,200,-290.0
218,200,-308.0
219,183,-261.0
220,200,-290.0
221,200,-326.0
222,200,-380.0
223,200,-245.0
224,200,-254.0
225,200,-299.0
226,200,-272.0
227,80,-113.0
228,200,-308.0
229,200,-281.0
230,200,-299.0
231,87,-120.0
232,200,-290.0
233,200,-236.0
234,91,-160.0
235,43,-40.0
236,200,-353.0
237,97,-139.0
238,200,-272.0
239,200,-299.0
240,200,-299.0
241,200,-236.0
242,200,-236.0
243,200,-263.0
244,51,-39.0
245,200,-272.0
246,141,-201.0
247,200,-335.0
248,200,-254.0
249,200,-308.0
250,200,-281.0
251,200,-308.0
252,200,-236.0
253,200,-317.0
254,200,-254.0
255,200,-254.0
256,200,-245.0
257,200,-317.0
258,200,-263.0
259,130,-199.0
260,200,-236.0
261,200,-245.0
262,200,-263.0
263,200,-245.0
264,200,-245.0
265,200,-245.0
266,200,-335.0
267,200,-281.0
268,141,-174.0
269,200,-317.0
270,200,-281.0
271,200,-290.0
272,200,-326.0
273,200,-272.0
274,200,-281.0
275,200,-263.0
276,200,-281.0
277,200,-308.0
278,200,-272.0
279,103,-100.0
280,200,-254.0
281,200,-290.0
282,200,-353.0
283,171,-240.0
284,200,-299.0
285,200,-245.0
286,200,-290.0
287,200,-245.0
288,200,-281.0
289,200,-308.0
290,200,-326.0
291,200,-263.0
292,200,-281.0
293,200,-227.0
294,200,-308.0
295,200,-299.0
296,200,-272.0
297,130,-154.0
298,200,-263.0
299,200,-317.0
300,200,-380.0
301,200,-263.0
302,200,-281.0
303,38,-44.0
304,200,-317.0
305,200,-272.0
306,84,-117.0
307,200,-281.0
308,200,-281.0
309,200,-299.0
310,200,-272.0
311,200,-272.0
312,200,-227.0
313,200,-326.0
314,200,-272.0
315,200,-299.0
316,200,-326.0
317,60,-57.0
318,200,-380.0
319,114,-156.0
320,200,-290.0
321,178,-229.0
322,200,-326.0
323,200,-272.0
324,165,-207.0
325,200,-299.0
326,200,-263.0
327,200,-299.0
328,200,-272.0
329,200,-281.0
330,200,-263.0
331,200,-263.0
332,200,-290.0
333,200,-299.0
334,183,-207.0
335,104,-200.0
336,200,-335.0
337,200,-281.0
338,200,-236.0
339,90,-96.0
340,200,-254.0
341,158,-182.0
342,55,-79.0
343,119,-188.0
344,200,-317.0
345,200,-290.0
346,200,-263.0
347,200,-236.0
348,200,-281.0
349,200,-254.0
350,200,-263.0
351,200,-218.0
352,200,-272.0
353,56,-62.0
354,200,-281.0
355,131,-164.0
356,200,-317.0
357,200,-308.0
358,200,-317.0
359,200,-272.0
360,200,-290.0
361,200,-263.0
362,200,-245.0
363,200,-290.0
364,200,-263.0
365,172,-205.0
366,200,-254.0
367,200,-353.0
368,200,-326.0
369,200,-263.0
370,200,-272.0
371,133,-148.0
372,111,-144.0
373,200,-263.0
374,200,-317.0
375,200,-299.0
376,200,-272.0
377,200,-263.0
378,200,-263.0
379,133,-148.0
380,200,-353.0
381,200,-263.0
382,166,-235.0
383,141,-147.0
384,200,-290.0
385,200,-245.0
386,200,-308.0
387,200,-263.0
388,200,-245.0
389,200,-308.0
390,200,-335.0
391,200,-299.0
392,200,-290.0
393,200,-263.0
394,200,-290.0
395,200,-272.0
396,200,-317.0
397,200,-281.0
398,200,-281.0
399,200,-263.0
400,200,-281.0
401,200,-254.0
402,200,-326.0
403,200,-236.0
404,200,-281.0
405,200,-209.0
406,200,-254.0
407,200,-299.0
408,200,-227.0
409,150,-192.0
410,174,-279.0
411,200,-272.0
412,200,-308.0
413,200,-254.0
414,200,-272.0
415,200,-254.0
416,200,-281.0
417,141,-183.0
418,200,-272.0
419,88,-121.0
420,156,-207.0
421,200,-326.0
422,200,-317.0
423,200,-236.0
424,152,-203.0
425,200,-236.0
426,200,-317.0
427,200,-299.0
428,200,-254.0
429,200,-272.0
430,200,-263.0
431,200,-245.0
432,125,-149.0
433,200,-272.0
434,200,-272.0
435,200,-290.0
436,200,-290.0
437,200,-299.0
438,118,-151.0
439,200,-335.0
440,200,-263.0
441,200,-272.0
442,200,-272.0
443,200,-281.0
444,200,-290.0
445,200,-299.0
446,180,-213.0
447,200,-362.0
448,200,-308.0
449,200,-245.0
450,200,-263.0
451,200,-236.0
452,200,-317.0
453,200,-317.0
454,138,-162.0
455,200,-308.0
456,200,-263.0
457,184,-262.0
458,200,-299.0
459,200,-290.0
460,76,-82.0
461,200,-254.0
462,125,-140.0
463,200,-272.0
464,200,-290.0
465,79,-94.0
466,200,-272.0
467,200,-254.0
468,149,-245.0
469,200,-317.0
470,194,-254.0
471,200,-263.0
472,200,-272.0
473,200,-308.0
474,200,-245.0
475,200,-299.0
476,188,-248.0
477,200,-272.0
478,200,-299.0
479,200,-353.0
480,200,-290.0
481,200,-281.0
482,200,-263.0
483,200,-263.0
484,200,-245.0
485,107,-131.0
486,200,-308.0
487,200,-317.0
488,200,-299.0
489,200,-263.0
490,200,-263.0
491,200,-290.0
492,200,-281.0
493,25,-22.0
494,138,-162.0
495,200,-254.0
496,200,-272.0
497,200,-335.0
498,120,-153.0
499,200,-317.0
500,192,-252.0
501,200,-254.0
502,200,-299.0
503,102,-99.0
504,200,-272.0
505,200,-281.0
506,144,-168.0
507,178,-220.0
508,200,-281.0
509,200,-299.0
510,200,-254.0
511,200,-281.0
512,200,-326.0
513,59,-38.0
514,200,-290.0
515,200,-272.0
516,183,-270.0
517,200,-254.0
518,200,-263.0
519,200,-290.0
520,200,-308.0
521,200,-263.0
522,200,-281.0
523,132,-174.0
524,200,-281.0
525,200,-281.0
526,198,-303.0
527,119,-125.0
528,165,-234.0
529,200,-236.0
530,200,-281.0
531,89,-86.0
532,200,-272.0
533,200,-299.0
534,200,-344.0
535,200,-308.0
536,200,-290.0
537,200,-308.0
538,200,-245.0
539,200,-290.0
540,200,-371.0
541,200,-263.0
542,200,-245.0
543,200,-281.0
544,200,-281.0
545,200,-326.0
546,200,-245.0
547,200,-281.0
548,200,-344.0
549,151,-184.0
550,200,-308.0
551,190,-295.0
552,188,-275.0
553,200,-281.0
554,200,-272.0
555,156,-216.0
556,136,-160.0
557,200,-254.0
558,200,-308.0
559,200,-290.0
560,153,-231.0
561,200,-308.0
562,200,-263.0
563,200,-254.0
564,200,-281.0
565,200,-281.0
566,200,-299.0
567,147,-189.0
568,200,-299.0
569,78,-66.0
570,200,-281.0
571,119,-143.0
572,200,-299.0
573,200,-272.0
574,72,-69.0
575,200,-335.0
576,200,-263.0
577,167,-200.0
