episode,steps,return
1,200,-506.0
2,200,-641.0
3,200,-542.0
4,200,-533.0
5,200,-596.0
6,200,-578.0
7,200,-569.0
8,200,-488.0
9,200,-515.0
10,200,-551.0
11,200,-560.0
12,200,-443.0
13,200,-398.0
14,200,-605.0
15,200,-569.0
16,200,-524.0
17,200,-380.0
18,200,-317.0
19,200,-515.0
20,200,-497.0
21,200,-524.0
22,200,-515.0
23,200,-434.0
24,200,-659.0
25,200,-425.0
26,200,-452.0
27,200,-371.0
28,200,-389.0
29,71,-167.0
30,200,-344.0
31,200,-614.0
32,200,-407.0
33,200,-389.0
34,200,-380.0
35,200,-371.0
36,200,-434.0
37,200,-605.0
38,200,-425.0
39,198,-384.0
40,200,-551.0
41,200,-353.0
42,200,-533.0
43,200,-425.0
44,200,-452.0
45,200,-344.0
46,200,-362.0
47,200,-425.0
48,200,-380.0
49,200,-461.0
50,200,-434.0
51,200,-515.0
52,156,-333.0
53,200,-371.0
54,200,-344.0
55,200,-479.0
56,106,-166.0
57,200,-389.0
58,200,-416.0
59,200,-470.0
60,200,-434.0
61,200,-398.0
62,200,-389.0
63,200,-290.0
64,200,-398.0
65,200,-344.0
66,200,-407.0
67,200,-344.0
68,200,-443.0
69,94,-145.0
70,131,-209.0
71,200,-362.0
72,200,-416.0
73,200,-398.0
74,200,-344.0
75,200,-398.0
76,200,-407.0
77,200,-425.0
78,26,-32.0
79,200,-380.0
80,175,-361.0
81,200,-380.0
82,200,-389.0
83,200,-389.0
84,200,-353.0
85,72,-114.0
86,200,-371.0
87,156,-342.0
88,200,-353.0
89,200,-344.0
90,200,-416.0
91,200,-344.0
92,137,-224.0
93,200,-380.0
94,200,-344.0
95,200,-317.0
96,200,-443.0
97,200,-389.0
98,200,-353.0
99,200,-344.0
100,200,-425.0
101,200,-416.0
102,200,-371.0
103,200,-398.0
104,200,-353.0
105,200,-470.0
106,200,-416.0
107,200,-371.0
108,200,-389.0
109,200,-326.0
110,200,-371.0
111,200,-389.0
112,200,-443.0
113,200,-362.0
114,200,-407.0
115,200,-344.0
116,73,-160.0
117,200,-380.0
118,200,-290.0
119,200,-443.0
120,200,-353.0
121,200,-443.0
122,200,-407.0
123,200,-335.0
124,200,-389.0
125,200,-398.0
126,200,-335.0
127,200,-326.0
128,200,-389.0
129,200,-389.0
130,200,-398.0
131,200,-353.0
132,200,-326.0
133,200,-452.0
134,105,-138.0
135,200,-371.0
136,200,-407.0
137,200,-353.0
138,200,-335.0
139,200,-434.0
140,200,-380.0
141,200,-380.0
142,200,-362.0
143,200,-416.0
144,200,-353.0
145,200,-389.0
146,200,-443.0
147,200,-398.0
148,200,-371.0
149,200,-389.0
150,200,-479.0
151,200,-362.0
152,200,-344.0
153,200,-398.0
154,200,-389.0
155,200,-416.0
156,200,-443.0
157,200,-362.0
158,200,-344.0
159,200,-461.0
160,200,-371.0
161,200,-389.0
162,200,-362.0
163,200,-362.0
