episode,steps,return
1,200,-506.0
2,200,-641.0
3,200,-542.0
4,200,-533.0
5,200,-596.0
6,200,-578.0
7,200,-569.0
8,200,-488.0
9,200,-515.0
10,200,-551.0
11,200,-560.0
12,200,-443.0
13,200,-398.0
14,200,-605.0
15,200,-569.0
16,200,-524.0
17,200,-380.0
18,200,-326.0
19,200,-515.0
20,200,-515.0
21,200,-524.0
22,200,-515.0
23,200,-434.0
24,200,-659.0
25,200,-425.0
26,200,-443.0
27,200,-371.0
28,200,-380.0
29,200,-506.0
30,200,-308.0
31,200,-614.0
32,200,-416.0
33,200,-398.0
34,200,-353.0
35,200,-371.0
36,200,-461.0
37,200,-587.0
38,200,-434.0
39,171,-240.0
40,200,-506.0
41,200,-380.0
42,200,-560.0
43,200,-434.0
44,11,10.0
45,200,-389.0
46,90,-123.0
47,165,-261.0
48,200,-398.0
49,200,-371.0
50,200,-416.0
51,52,-139.0
52,200,-452.0
53,200,-443.0
54,200,-317.0
55,200,-488.0
56,200,-389.0
57,147,-333.0
58,200,-380.0
59,200,-407.0
60,200,-461.0
61,200,-425.0
62,200,-533.0
63,200,-353.0
64,200,-290.0
65,200,-308.0
66,200,-389.0
67,200,-452.0
68,200,-371.0
69,200,-461.0
70,77,-155.0
71,200,-326.0
72,200,-371.0
73,200,-425.0
74,200,-389.0
75,22,-28.0
76,200,-299.0
77,200,-434.0
78,200,-425.0
79,200,-443.0
80,200,-344.0
81,200,-434.0
82,200,-380.0
83,200,-389.0
84,200,-380.0
85,200,-326.0
86,109,-178.0
87,200,-461.0
88,200,-353.0
89,200,-362.0
90,200,-407.0
91,200,-380.0
92,200,-362.0
93,200,-326.0
94,200,-371.0
95,200,-335.0
96,200,-407.0
97,200,-434.0
98,200,-335.0
99,140,-254.0
100,200,-326.0
101,200,-443.0
102,200,-416.0
103,200,-344.0
104,200,-380.0
105,200,-407.0
106,200,-398.0
107,200,-407.0
108,184,-370.0
109,200,-344.0
110,200,-362.0
111,200,-371.0
112,200,-371.0
113,200,-425.0
114,200,-398.0
115,200,-380.0
116,116,-185.0
117,200,-389.0
118,200,-344.0
119,200,-371.0
120,200,-452.0
121,200,-362.0
122,200,-443.0
123,200,-362.0
124,200,-362.0
125,200,-389.0
126,200,-344.0
127,200,-371.0
128,200,-317.0
129,200,-434.0
130,200,-371.0
131,200,-389.0
132,200,-326.0
133,200,-407.0
134,200,-353.0
135,200,-371.0
136,200,-407.0
137,200,-362.0
138,200,-317.0
139,200,-434.0
140,200,-371.0
141,200,-353.0
142,161,-239.0
143,200,-353.0
144,200,-425.0
145,200,-371.0
146,200,-443.0
147,200,-371.0
148,200,-416.0
149,200,-353.0
150,200,-443.0
151,200,-380.0
152,200,-335.0
153,200,-389.0
154,29,-35.0
155,200,-416.0
156,200,-371.0
157,200,-479.0
158,200,-353.0
159,200,-362.0
160,200,-461.0
161,200,-380.0
162,200,-416.0
163,200,-362.0
