episode,steps,return
1,200,-506.0
2,200,-641.0
3,200,-542.0
4,200,-533.0
5,200,-596.0
6,200,-578.0
7,200,-569.0
8,200,-488.0
9,200,-515.0
10,200,-560.0
11,200,-560.0
12,200,-434.0
13,200,-398.0
14,200,-605.0
15,200,-569.0
16,200,-524.0
17,200,-380.0
18,200,-326.0
19,200,-515.0
20,200,-515.0
21,200,-524.0
22,200,-524.0
23,200,-434.0
24,200,-659.0
25,200,-416.0
26,200,-425.0
27,200,-371.0
28,200,-398.0
29,200,-371.0
30,200,-290.0
31,200,-614.0
32,200,-416.0
33,200,-380.0
34,200,-371.0
35,69,-111.0
36,200,-416.0
37,200,-587.0
38,200,-434.0
39,200,-398.0
40,200,-479.0
41,200,-344.0
42,200,-596.0
43,200,-398.0
44,30,-45.0
45,200,-434.0
46,200,-353.0
47,127,-196.0
48,200,-389.0
49,188,-356.0
50,200,-344.0
51,165,-531.0
52,200,-443.0
53,200,-371.0
54,200,-371.0
55,200,-479.0
56,135,-267.0
57,200,-380.0
58,150,-264.0
59,200,-416.0
60,200,-434.0
61,200,-389.0
62,200,-506.0
63,200,-317.0
64,200,-317.0
65,158,-218.0
66,200,-389.0
67,197,-410.0
68,200,-380.0
69,169,-301.0
70,179,-329.0
71,200,-362.0
72,200,-335.0
73,200,-407.0
74,200,-398.0
75,30,-18.0
76,117,-168.0
77,200,-443.0
78,200,-398.0
79,200,-461.0
80,200,-344.0
81,177,-390.0
82,200,-371.0
83,200,-389.0
84,200,-389.0
85,124,-193.0
86,75,-126.0
87,200,-488.0
88,200,-380.0
89,200,-335.0
90,200,-371.0
91,200,-362.0
92,177,-300.0
93,200,-371.0
94,200,-371.0
95,200,-344.0
96,200,-317.0
97,108,-204.0
98,200,-452.0
99,175,-289.0
100,200,-380.0
101,47,-35.0
102,200,-335.0
103,200,-443.0
104,94,-172.0
105,200,-380.0
106,200,-398.0
107,194,-344.0
108,200,-443.0
109,16,-4.0
110,148,-280.0
111,200,-353.0
112,82,-133.0
113,159,-282.0
114,181,-286.0
115,100,-187.0
116,138,-243.0
117,200,-398.0
118,200,-416.0
119,100,-187.0
120,200,-452.0
121,200,-353.0
122,77,-128.0
123,196,-355.0
124,57,-63.0
125,200,-335.0
126,87,-147.0
127,200,-425.0
128,60,-75.0
129,198,-348.0
130,200,-443.0
131,78,-129.0
132,200,-344.0
133,200,-380.0
134,59,-74.0
135,129,-243.0
136,200,-344.0
137,147,-234.0
138,200,-317.0
139,166,-352.0
140,200,-389.0
141,138,-225.0
142,12,0.0
143,200,-344.0
144,162,-249.0
145,200,-452.0
146,161,-221.0
147,161,-257.0
148,200,-359.0
149,90,-123.0
150,89,-149.0
151,84,-117.0
152,200,-335.0
153,155,-323.0
154,90,-150.0
155,186,-318.0
156,62,-104.0
157,81,-150.0
158,150,-192.0
159,200,-389.0
160,145,-277.0
161,168,-264.0
162,157,-316.0
163,200,-434.0
