episode,steps,return
1,200,-470.0
2,200,-587.0
3,200,-524.0
4,200,-425.0
5,200,-569.0
6,200,-551.0
7,200,-515.0
8,200,-353.0
9,200,-398.0
10,200,-407.0
11,200,-470.0
12,200,-335.0
13,183,-324.0
14,200,-587.0
15,200,-560.0
16,192,-486.0
17,200,-236.0
18,200,-245.0
19,200,-254.0
20,200,-506.0
21,200,-560.0
22,200,-290.0
23,200,-335.0
24,200,-425.0
25,200,-281.0
26,200,-254.0
27,200,-281.0
28,200,-290.0
29,200,-263.0
30,200,-263.0
31,200,-515.0
32,200,-353.0
33,85,-91.0
34,200,-254.0
35,200,-227.0
36,200,-434.0
37,200,-569.0
38,200,-317.0
39,200,-308.0
40,200,-470.0
41,200,-290.0
42,200,-461.0
43,200,-236.0
44,185,-182.0
45,200,-380.0
46,200,-236.0
47,200,-317.0
48,200,-344.0
49,200,-452.0
50,200,-263.0
51,128,-332.0
52,200,-263.0
53,200,-227.0
54,200,-344.0
55,200,-371.0
56,200,-281.0
57,200,-227.0
58,159,-165.0
59,200,-236.0
60,200,-308.0
61,200,-254.0
62,200,-281.0
63,134,-140.0
64,200,-407.0
65,200,-245.0
66,200,-326.0
67,200,-290.0
68,200,-344.0
69,200,-236.0
70,200,-227.0
71,38,-35.0
72,200,-236.0
73,200,-236.0
74,50,-56.0
75,163,-223.0
76,200,-317.0
77,157,-190.0
78,200,-362.0
79,200,-290.0
80,200,-344.0
81,200,-335.0
82,176,-209.0
83,200,-272.0
84,200,-263.0
85,200,-353.0
86,200,-389.0
87,173,-368.0
88,200,-299.0
89,200,-227.0
90,125,-113.0
91,69,-84.0
92,200,-254.0
93,200,-254.0
94,200,-254.0
95,200,-371.0
96,172,-223.0
97,160,-184.0
98,200,-290.0
99,200,-290.0
100,200,-353.0
101,200,-308.0
102,200,-272.0
103,200,-317.0
104,149,-236.0
105,200,-407.0
106,200,-416.0
107,130,-181.0
108,200,-290.0
109,72,-105.0
110,127,-178.0
111,200,-254.0
112,200,-254.0
113,200,-254.0
114,200,-434.0
115,200,-254.0
116,78,-75.0
117,200,-326.0
118,200,-290.0
119,50,-65.0
120,170,-248.0
121,200,-326.0
122,200,-272.0
123,200,-218.0
124,132,-192.0
125,200,-263.0
126,68,-74.0
127,200,-263.0
128,130,-154.0
129,200,-254.0
130,200,-236.0
131,14,-2.0
132,200,-308.0
133,200,-281.0
134,191,-233.0
135,200,-245.0
136,200,-263.0
137,200,-245.0
138,200,-236.0
139,200,-281.0
140,200,-335.0
141,200,-218.0
142,62,-59.0
143,186,-264.0
144,185,-245.0
145,200,-254.0
146,200,-308.0
147,125,-140.0
148,200,-227.0
149,155,-143.0
150,70,-76.0
151,200,-371.0
152,122,-200.0
153,200,-299.0
154,200,-245.0
155,176,-209.0
156,200,-317.0
157,200,-290.0
158,141,-165.0
159,156,-153.0
160,200,-263.0
161,200,-308.0
162,120,-144.0
163,90,-105.0
164,200,-281.0
165,200,-281.0
166,200,-299.0
167,12,9.0
168,149,-173.0
169,200,-245.0
170,200,-236.0
171,200,-371.0
172,200,-344.0
173,191,-269.0
174,200,-272.0
175,200,-254.0
176,107,-131.0
177,200,-281.0
178,89,-95.0
179,200,-263.0
180,170,-221.0
181,111,-108.0
182,200,-263.0
183,97,-121.0
184,97,-85.0
185,200,-317.0
186,200,-236.0
187,163,-250.0
188,170,-275.0
189,180,-204.0
190,200,-362.0
191,102,-108.0
192,164,-188.0
193,200,-335.0
194,176,-218.0
195,83,-89.0
196,135,-177.0
197,87,-111.0
198,200,-245.0
199,140,-245.0
200,126,-132.0
201,99,-96.0
202,200,-308.0
203,79,-103.0
204,200,-425.0
205,200,-254.0
206,193,-253.0
207,200,-263.0
208,200,-308.0
209,150,-273.0
210,200,-344.0
211,179,-212.0
212,43,-40.0
213,55,-106.0
214,79,-103.0
215,31,-19.0
216,200,-272.0
217,200,-263.0
218,200,-308.0
219,89,-86.0
220,178,-283.0
221,111,-99.0
222,86,-83.0
223,14,7.0
224,96,-102.0
225,167,-245.0
226,142,-265.0
227,200,-335.0
228,200,-236.0
229,200,-272.0
230,146,-197.0
231,161,-284.0
232,94,-100.0
233,80,-68.0
234,200,-308.0
235,47,-44.0
236,181,-259.0
237,200,-308.0
238,162,-222.0
239,160,-220.0
240,26,-23.0
241,200,-290.0
242,96,-129.0
243,150,-201.0
244,58,-37.0
245,165,-171.0
246,187,-265.0
247,52,-31.0
248,103,-100.0
249,66,-54.0
250,200,-254.0
251,61,-67.0
252,130,-199.0
253,93,-135.0
254,176,-173.0
255,200,-263.0
256,200,-245.0
257,200,-290.0
258,159,-183.0
259,200,-326.0
260,86,-92.0
261,56,-53.0
262,200,-308.0
263,200,-245.0
264,45,-51.0
265,78,-66.0
266,165,-243.0
267,77,-74.0
268,145,-187.0
269,200,-299.0
270,144,-186.0
271,200,-272.0
272,77,-74.0
273,153,-159.0
274,200,-227.0
275,22,-10.0
276,134,-185.0
277,28,-25.0
278,200,-335.0
279,200,-272.0
280,157,-199.0
281,200,-281.0
282,200,-245.0
283,11,10.0
284,132,-156.0
285,200,-308.0
286,200,-281.0
287,200,-227.0
288,200,-254.0
289,200,-245.0
290,67,-46.0
291,117,-132.0
292,137,-143.0
293,134,-158.0
294,82,-88.0
295,200,-335.0
296,113,-146.0
297,150,-183.0
298,114,-129.0
299,33,-12.0
300,135,-141.0
301,181,-259.0
302,200,-281.0
303,167,-191.0
304,200,-227.0
305,200,-272.0
306,154,-232.0
307,145,-160.0
308,63,-69.0
309,93,-108.0
310,30,-18.0
311,200,-245.0
312,83,-98.0
313,125,-149.0
314,42,-30.0
315,50,-56.0
316,178,-310.0
317,42,-30.0
318,179,-221.0
319,92,-80.0
320,96,-93.0
321,200,-308.0
322,15,6.0
323,125,-140.0
324,32,-20.0
325,21,0.0
326,81,-114.0
327,111,-153.0
328,40,-19.0
329,123,-156.0
330,152,-203.0
331,70,-58.0
332,199,-232.0
333,200,-263.0
334,41,-47.0
335,140,-209.0
336,58,-46.0
337,90,-159.0
338,106,-157.0
339,95,-110.0
340,92,-89.0
341,61,-67.0
342,200,-227.0
343,40,-28.0
344,92,-116.0
345,157,-154.0
346,156,-198.0
347,101,-107.0
348,141,-156.0
349,62,-77.0
350,6,15.0
351,147,-153.0
352,114,-111.0
353,58,-46.0
354,177,-201.0
355,87,-84.0
356,200,-236.0
357,22,-1.0
358,115,-121.0
359,34,-22.0
360,121,-118.0
361,169,-211.0
362,9,3.0
363,85,-82.0
364,200,-299.0
365,193,-244.0
366,27,-15.0
367,136,-178.0
368,54,-60.0
369,79,-67.0
370,50,-56.0
371,72,-105.0
372,8,4.0
373,81,-87.0
374,200,-344.0
375,32,-29.0
376,12,9.0
377,184,-226.0
378,55,-79.0
379,59,-56.0
380,133,-166.0
381,101,-143.0
382,63,-69.0
383,177,-228.0
384,72,-60.0
385,104,-137.0
386,200,-263.0
387,149,-191.0
388,30,-27.0
389,200,-263.0
390,79,-67.0
391,63,-51.0
392,175,-190.0
393,176,-200.0
394,56,-53.0
395,140,-191.0
396,20,-17.0
397,86,-83.0
398,76,-73.0
399,70,-85.0
400,7,14.0
401,23,-11.0
402,52,-40.0
403,28,-7.0
404,69,-84.0
405,167,-209.0
406,130,-136.0
407,107,-140.0
408,66,-54.0
409,83,-107.0
410,110,-125.0
411,14,7.0
412,200,-272.0
413,76,-73.0
414,35,-32.0
415,22,-10.0
416,83,-71.0
417,186,-210.0
418,147,-216.0
419,72,-69.0
420,200,-263.0
421,150,-210.0
422,35,-14.0
423,113,-137.0
424,74,-107.0
425,67,-73.0
426,134,-122.0
427,10,11.0
428,50,-65.0
429,20,1.0
430,58,-82.0
431,43,-40.0
432,30,-9.0
433,12,9.0
434,56,-35.0
435,143,-158.0
436,79,-76.0
437,111,-126.0
438,81,-105.0
439,97,-103.0
440,82,-97.0
441,103,-109.0
442,200,-254.0
443,195,-255.0
444,81,-105.0
445,48,-27.0
446,128,-134.0
447,200,-227.0
448,114,-147.0
449,30,-9.0
450,84,-99.0
451,200,-308.0
452,194,-290.0
453,35,-14.0
454,132,-165.0
455,117,-123.0
456,102,-90.0
457,48,-45.0
458,72,-87.0
459,138,-135.0
460,11,1.0
461,28,-16.0
462,77,-101.0
463,54,-51.0
464,90,-114.0
465,47,-35.0
466,119,-116.0
467,32,-11.0
468,9,12.0
469,63,-60.0
470,200,-263.0
471,7,14.0
472,63,-51.0
473,76,-55.0
474,64,-97.0
475,44,-23.0
476,49,-46.0
477,56,-62.0
478,163,-160.0
479,70,-49.0
480,22,-28.0
481,99,-123.0
482,12,9.0
483,92,-116.0
484,57,-54.0
485,14,-2.0
486,68,-56.0
487,151,-202.0
488,88,-94.0
489,13,8.0
490,135,-168.0
491,31,-37.0
492,83,-89.0
493,39,-36.0
494,140,-173.0
495,9,12.0
496,22,-28.0
497,60,-57.0
498,67,-64.0
499,42,-21.0
500,98,-122.0
501,29,-8.0
502,58,-73.0
503,59,-56.0
504,96,-138.0
505,57,-63.0
506,48,-45.0
507,14,7.0
508,93,-99.0
509,120,-126.0
510,91,-88.0
511,200,-299.0
512,111,-126.0
513,15,-3.0
514,111,-135.0
515,34,-31.0
516,51,-48.0
517,95,-101.0
518,20,-8.0
519,76,-73.0
520,28,-16.0
521,81,-87.0
522,61,-49.0
523,30,-9.0
524,119,-179.0
525,71,-95.0
526,75,-72.0
527,12,9.0
528,31,-37.0
529,93,-126.0
530,84,-81.0
531,16,5.0
532,95,-83.0
533,52,-58.0
534,38,-35.0
535,154,-205.0
536,61,-40.0
537,71,-68.0
538,92,-107.0
539,8,13.0
540,151,-175.0
541,117,-123.0
542,30,-18.0
543,179,-221.0
544,36,-24.0
545,8,13.0
546,26,-14.0
547,19,-7.0
548,100,-124.0
549,12,9.0
550,64,-61.0
551,108,-105.0
552,126,-141.0
553,114,-192.0
554,169,-229.0
555,111,-108.0
556,8,13.0
557,28,-16.0
558,192,-243.0
559,70,-49.0
560,22,-1.0
561,87,-120.0
562,63,-69.0
563,48,-36.0
564,49,-28.0
565,71,-86.0
566,10,11.0
567,23,-2.0
568,104,-110.0
569,116,-167.0
570,75,-54.0
571,69,-57.0
572,124,-166.0
573,68,-56.0
574,10,11.0
575,15,6.0
576,87,-93.0
577,54,-42.0
578,44,-32.0
579,99,-141.0
580,18,-6.0
