episode,steps,return
1,200,-560.0
2,200,-614.0
3,200,-569.0
4,200,-506.0
5,200,-578.0
6,200,-551.0
7,200,-560.0
8,200,-362.0
9,200,-434.0
10,200,-443.0
11,200,-470.0
12,200,-299.0
13,200,-398.0
14,200,-587.0
15,200,-587.0
16,74,-197.0
17,200,-353.0
18,200,-344.0
19,200,-380.0
20,200,-461.0
21,200,-542.0
22,200,-326.0
23,200,-344.0
24,200,-470.0
25,200,-344.0
26,200,-353.0
27,153,-312.0
28,200,-326.0
29,136,-214.0
30,200,-542.0
31,200,-497.0
32,200,-434.0
33,200,-281.0
34,200,-326.0
35,200,-299.0
36,200,-371.0
37,200,-596.0
38,200,-326.0
39,169,-274.0
40,200,-542.0
41,200,-308.0
42,200,-641.0
43,200,-308.0
44,200,-317.0
45,200,-344.0
46,200,-317.0
47,31,-19.0
48,200,-407.0
49,200,-263.0
50,200,-434.0
51,200,-281.0
52,132,-183.0
53,200,-326.0
54,200,-353.0
55,158,-407.0
56,200,-335.0
57,200,-308.0
58,200,-335.0
59,200,-290.0
60,200,-308.0
61,200,-290.0
62,85,-118.0
63,200,-362.0
64,200,-371.0
65,80,-95.0
66,200,-344.0
67,90,-96.0
68,136,-187.0
69,200,-272.0
70,94,-127.0
71,64,-70.0
72,200,-299.0
73,200,-407.0
74,200,-335.0
75,158,-236.0
76,200,-389.0
77,111,-162.0
78,105,-183.0
79,200,-362.0
80,200,-362.0
81,200,-335.0
82,82,-97.0
83,200,-326.0
84,200,-398.0
85,7,14.0
86,157,-343.0
87,200,-416.0
88,200,-308.0
89,200,-344.0
90,43,-40.0
91,200,-326.0
92,200,-299.0
93,200,-308.0
94,200,-299.0
95,200,-308.0
96,147,-225.0
97,121,-199.0
98,200,-308.0
99,200,-371.0
100,200,-308.0
101,63,-78.0
102,200,-326.0
103,200,-389.0
104,92,-107.0
105,200,-290.0
106,200,-335.0
107,192,-279.0
108,138,-198.0
109,54,-78.0
110,115,-139.0
111,200,-326.0
112,92,-161.0
113,200,-281.0
114,166,-235.0
115,60,-93.0
116,146,-206.0
117,200,-317.0
118,82,-97.0
119,42,-48.0
120,200,-326.0
121,200,-416.0
122,172,-259.0
123,200,-326.0
124,200,-335.0
125,200,-335.0
126,64,-88.0
127,145,-232.0
128,200,-380.0
129,200,-371.0
130,179,-284.0
131,180,-267.0
132,200,-398.0
133,200,-416.0
134,200,-335.0
135,115,-130.0
136,200,-326.0
137,194,-317.0
138,200,-299.0
139,200,-362.0
140,135,-195.0
141,112,-154.0
142,110,-161.0
143,26,-5.0
144,184,-262.0
145,200,-335.0
146,173,-224.0
147,35,-41.0
148,200,-317.0
149,49,-64.0
150,60,-57.0
151,76,-118.0
152,200,-353.0
153,72,-78.0
154,42,-48.0
155,200,-290.0
156,200,-290.0
157,105,-147.0
158,72,-78.0
159,33,-57.0
160,39,-54.0
161,200,-326.0
162,90,-141.0
163,66,-72.0
164,108,-159.0
165,116,-167.0
166,164,-278.0
167,102,-126.0
168,138,-216.0
169,165,-225.0
170,200,-362.0
171,180,-285.0
172,125,-167.0
173,36,-24.0
174,200,-308.0
175,200,-281.0
176,200,-380.0
177,171,-204.0
178,200,-326.0
179,140,-182.0
180,200,-299.0
181,27,-15.0
182,200,-344.0
183,109,-133.0
184,51,-84.0
185,197,-365.0
186,109,-151.0
187,61,-76.0
188,142,-193.0
189,31,-19.0
190,162,-285.0
191,14,7.0
