episode,steps,return
1,200,-506.0
2,200,-641.0
3,200,-542.0
4,200,-533.0
5,200,-596.0
6,200,-578.0
7,200,-569.0
8,200,-488.0
9,200,-515.0
10,200,-551.0
11,200,-560.0
12,200,-443.0
13,200,-398.0
14,200,-605.0
15,200,-569.0
16,200,-524.0
17,200,-380.0
18,200,-326.0
19,200,-515.0
20,200,-515.0
21,200,-524.0
22,200,-515.0
23,200,-434.0
24,200,-659.0
25,200,-425.0
26,200,-443.0
27,200,-371.0
28,200,-380.0
29,200,-371.0
30,200,-299.0
31,200,-614.0
32,200,-416.0
33,200,-371.0
34,200,-353.0
35,200,-371.0
36,200,-425.0
37,200,-587.0
38,200,-488.0
39,140,-191.0
40,200,-533.0
41,200,-389.0
42,200,-524.0
43,200,-425.0
44,200,-407.0
45,200,-371.0
46,200,-416.0
47,200,-389.0
48,200,-326.0
49,200,-461.0
50,200,-443.0
51,200,-551.0
52,200,-353.0
53,200,-362.0
54,200,-362.0
55,200,-479.0
56,200,-398.0
57,200,-416.0
58,200,-497.0
59,120,-315.0
60,200,-443.0
61,200,-317.0
62,200,-407.0
63,187,-283.0
64,200,-407.0
65,200,-434.0
66,200,-326.0
67,200,-407.0
68,200,-398.0
69,200,-398.0
70,164,-269.0
71,200,-407.0
72,200,-335.0
73,200,-371.0
74,143,-329.0
75,46,-61.0
76,200,-425.0
77,88,-166.0
78,200,-380.0
79,200,-452.0
80,200,-362.0
81,48,-72.0
82,200,-389.0
83,200,-389.0
84,200,-344.0
85,200,-416.0
86,190,-322.0
87,175,-406.0
88,107,-158.0
89,200,-362.0
90,26,-32.0
91,200,-398.0
92,104,-155.0
93,200,-353.0
94,200,-353.0
95,200,-353.0
96,200,-326.0
97,165,-333.0
98,200,-425.0
99,200,-344.0
100,200,-335.0
101,116,-158.0
102,200,-434.0
103,200,-389.0
104,200,-380.0
105,78,-147.0
106,200,-362.0
107,200,-443.0
108,200,-416.0
109,141,-228.0
110,143,-275.0
111,177,-300.0
112,200,-371.0
113,200,-353.0
114,200,-380.0
115,200,-434.0
116,194,-344.0
117,200,-416.0
118,139,-217.0
119,137,-278.0
120,200,-353.0
121,200,-371.0
122,200,-425.0
123,200,-371.0
124,175,-352.0
125,200,-425.0
126,129,-189.0
127,200,-371.0
128,200,-380.0
129,200,-317.0
130,200,-362.0
131,40,-37.0
132,200,-362.0
133,200,-416.0
134,200,-380.0
135,200,-344.0
136,200,-317.0
137,195,-417.0
138,200,-317.0
139,200,-380.0
140,200,-398.0
141,130,-199.0
142,186,-273.0
143,128,-251.0
144,200,-434.0
145,200,-371.0
146,170,-293.0
147,155,-233.0
148,200,-389.0
149,200,-353.0
150,200,-407.0
151,200,-416.0
152,200,-389.0
153,200,-380.0
154,200,-380.0
155,200,-488.0
156,60,-102.0
157,200,-308.0
158,200,-380.0
159,200,-380.0
160,133,-265.0
161,114,-210.0
162,196,-436.0
163,200,-353.0
